time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-04T18:24:37.410Z,-7.055,123.2039,628.69,5.3,mww,,43,1.839,0.7,us,us1000eiiy,2018-06-05T17:40:41.040Z,"165km NNE of Palue, Indonesia",earthquake,9.7,5.2,0.071,19,reviewed,us,us
2018-06-04T16:18:22.120Z,-29.8485,-111.7593,10,4.6,mb,,97,3.45,0.67,us,us1000elaq,2018-06-11T17:29:09.040Z,"Easter Island region",earthquake,8.9,1.9,0.076,52,reviewed,us,us
2018-06-04T16:06:39.080Z,-5.2751,153.5403,35,4.7,mb,,88,1.744,1.04,us,us1000eihq,2018-06-11T16:51:45.040Z,"105km SSE of Taron, Papua New Guinea",earthquake,9.9,2,0.074,55,reviewed,us,us
2018-06-04T16:06:19.370Z,36.5547,142.1138,24.3,4.6,mb,,138,1.684,0.46,us,us1000elap,2018-06-11T15:33:07.040Z,"122km ESE of Iwaki, Japan",earthquake,5.1,6.7,0.273,4,reviewed,us,us
2018-06-04T15:56:53.450Z,-52.599,27.9419,10,4.8,mb,,66,19.346,0.36,us,us1000eihg,2018-06-11T14:45:28.040Z,"South of Africa",earthquake,12.1,1.9,0.111,25,reviewed,us,us
2018-06-04T15:06:45.590Z,13.3914,-92.2141,10,5.1,mww,,68,1.234,1.11,us,us1000eigv,2018-06-11T14:37:53.645Z,"105km SSW of Champerico, Guatemala",earthquake,7.1,1.6,0.048,42,reviewed,us,us
2018-06-04T14:31:55.580Z,-24.4938,-67.0598,163.94,4.5,mb,,36,1.845,0.98,us,us1000eigp,2018-06-11T14:04:13.040Z,"81km WSW of San Antonio de los Cobres, Argentina",earthquake,8.6,10.1,0.15,13,reviewed,us,us
2018-06-04T06:31:32.500Z,-5.1323,102.6904,35.2,4.9,mb,,68,0.811,1.19,us,us1000eid7,2018-06-04T07:43:03.624Z,"119km W of Kuripan, Indonesia",earthquake,6.4,7.2,0.067,71,reviewed,us,us
2018-06-04T01:50:48.690Z,19.4108333,-155.2823333,0.59,5.4,mw,35,26,0.006994,0.1,hv,hv70228857,2018-06-11T01:27:23.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.14,0.1,,14,reviewed,hv,hv
2018-06-04T01:33:22.170Z,-6.9779,156.1395,69.92,4.8,mb,,58,4.492,1.43,us,us1000eib5,2018-06-11T01:11:21.040Z,"59km SW of Chirovanga, Solomon Islands",earthquake,8.5,6.8,0.073,58,reviewed,us,us
2018-06-04T00:44:29.020Z,-55.5026,-26.6521,10,4.6,mb,,81,5.806,0.81,us,us1000ela7,2018-06-12T02:51:13.040Z,"137km NNE of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,9.7,1.9,0.114,23,reviewed,us,us
